date,state,lf,lf_employed,lf_unemployed,lf_outside,p_rate,u_rate
2025-07-01,Perak,1224.8,1179.4,45.4,583.5,67.7,3.7
2025-07-01,W.P. Kuala Lumpur,1259.8,1219.5,40.3,406.4,75.6,3.2
2025-07-01,Sarawak,1258.3,1219.5,38.8,552.1,69.5,3.1
2025-07-01,Sabah,1950.2,1839.7,110.5,816.3,70.5,5.7
2025-07-01,Terengganu,507.6,493.0,14.6,327.7,60.8,2.9
2025-07-01,Selangor,4209.5,4134.8,74.7,1172.2,78.2,1.8
2025-07-01,Perlis,137.4,133.0,4.4,80.8,63.0,3.2
2025-07-01,Pulau Pinang,960.4,934.3,26.1,385.8,71.3,2.7
2025-07-01,Pahang,788.8,775.0,13.8,406.3,66.0,1.7
2025-07-01,Negeri Sembilan,585.1,567.8,17.3,283.2,67.4,3.0
2025-07-01,Melaka,534.6,521.8,12.8,237.5,69.2,2.4
2025-07-01,Kelantan,752.1,717.3,34.8,506.2,59.8,4.6
2025-07-01,Kedah,1002.7,978.3,24.4,514.4,66.1,2.4
2025-07-01,Johor,2206.3,2151.2,55.1,865.0,71.8,2.5
2025-07-01,W.P. Labuan,46.6,44.4,2.2,23.7,66.3,4.7
2025-07-01,W.P. Putrajaya,62.2,61.3,0.9,17.7,77.8,1.4